image,sigma,algorithm,psnr,SSIM,Execution time (s)
5.1.14,40,swnlm,23.849287,0.960735,63.497000
5.1.14,40,cnlm,23.359801,0.954350,32.427000
5.1.14,45,noisy,15.070221,0.779220,n/a
5.1.14,45,swnlm,23.480192,0.956355,63.403000
5.1.14,45,cnlm,22.644554,0.945953,32.246000
5.1.14,50,noisy,14.121377,0.744153,n/a
5.1.14,50,swnlm,23.087620,0.951632,63.476000
5.1.14,50,cnlm,21.942158,0.937060,32.394000
5.1.14,55,noisy,13.315968,0.713893,n/a
5.1.14,55,swnlm,22.695853,0.947108,63.470000
5.1.14,55,cnlm,21.435720,0.929615,32.160000
5.1.14,60,noisy,12.542013,0.685419,n/a
5.1.14,60,swnlm,22.430236,0.943504,63.487000
5.1.14,60,cnlm,20.906954,0.921050,32.287000
5.1.09,0,original,inf,1.000000,n/a
5.1.09,5,noisy,34.170470,0.992330,n/a
5.1.09,5,swnlm,34.249441,0.992451,63.138000
5.1.09,5,cnlm,35.754527,0.994582,32.111000
5.1.09,10,noisy,28.110870,0.970310,n/a
5.1.09,10,swnlm,30.622410,0.982334,63.378000
5.1.09,10,cnlm,32.166337,0.987373,32.249000
5.1.09,15,noisy,24.587831,0.937352,n/a
5.1.09,15,swnlm,29.516191,0.976831,63.379000
5.1.09,15,cnlm,30.275952,0.980246,32.244000
5.1.09,20,noisy,22.133964,0.897425,n/a
5.1.09,20,swnlm,28.837741,0.972522,63.472000
5.1.09,20,cnlm,28.911742,0.972737,32.378000
5.1.09,25,noisy,20.207719,0.852789,n/a
5.1.09,25,swnlm,28.293377,0.968649,63.595000
5.1.09,25,cnlm,27.829514,0.964906,32.430000
5.1.09,30,noisy,18.573280,0.804531,n/a
5.1.09,30,swnlm,27.932232,0.965965,63.564000
5.1.09,30,cnlm,26.815207,0.956027,32.441000
5.1.09,35,noisy,17.239648,0.757991,n/a
5.1.09,35,swnlm,27.501455,0.962074,63.674000
5.1.09,35,cnlm,25.978763,0.946489,32.394000
5.1.09,40,noisy,16.147966,0.717910,n/a
5.1.09,40,swnlm,27.081713,0.958451,63.674000
5.1.09,40,cnlm,25.294319,0.938202,32.241000
5.1.09,45,noisy,15.040085,0.676097,n/a
